Index   Energy(MeV)
1        -35.2666
2        -31.9487
3        -30.2613
4        -30.1947
5        -28.5544
6        -28.1687
7        -27.1223
8        -26.6017
9        -26.5501
10       -25.4281
11       -25.3915
12       -24.8551
13       -24.7871
14       -24.3577
15       -24.2805
16       -24.1501
17       -23.9844
18       -23.8272
19       -23.8014
20       -23.0411
21       -22.7959
22       -22.4837
23       -22.4263
24       -22.2911
25       -22.1127
26       -21.8741
27       -21.8534
28       -21.6841
29       -21.6781
30       -21.4649
31       -21.1290
32       -21.0318
33       -20.8443
34       -20.5064
35       -20.4006
36       -20.3240
37       -20.2560
38       -20.2194
39       -20.1637
40       -19.7001
41       -19.5023
42       -19.2536
43       -19.0411
44       -18.9529
45       -18.5860
46       -18.5445
47       -18.5174
48       -18.4878
49       -18.3129
50       -18.2264
51       -17.6216
52       -17.5215
